market,manual_campaign_name,sessions_total,spend_budget,matched_campaign_strings,match_strategy,match_score
DE,PZ_Koblenz,3.0,,,,
DE,PZ_Münster,3.0,,,,
DE,PZ_Reutlingen,3.0,,,,
DE,PZ_Wuppertal,3.0,,,,
DE,_seafinder25_,3.0,,,,
DE,10028541_EC_PL_SLS_ECO_ECO_BRD_GLB_NU_SEAH_PSEAC_DRT_MXED_MIXED_GAD_GADW_CPC_NU_NU_MIXD_NU_MXD_DE_AL_MXED_VMK3Direct-PMAX-AWO-General-DE-VXD-NU-10088025,2.0,149000033.6790875,10163718_10163718_POR_ECO_BRD_ITA_T1_NU_EUR_2025-01-01_2025-12-28_LOCAL-OCS | 10163718_10163718_POR_ECO_BRD_ITA_T1_NU_EUR_2025-01-01_2025-12-28_LOCAL-OCS | 10208510_10208510_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-2025AFTERSALESSEM | 10207178_10207178_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-01_2025-02-28_LOCAL-AFTERSALESPRINT | 10208494_10208494_POR_POB_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CORPORATESEARCH,id,1.0
DE,10182596_EC_PL_LAO_CNV_ECO_ECO_BRD_NA_GLB_SEAH_PSEAC_MXED_MIXED_MAD_BING_CPC_NU_NU_NU_NU_MXD_DE_AL_MXED_10205138-VMK3-BRAND-DE,2.0,122298719.8746915,10163718_10163718_POR_ECO_BRD_ITA_T1_NU_EUR_2025-01-01_2025-12-28_LOCAL-OCS | 10163718_10163718_POR_ECO_BRD_ITA_T1_NU_EUR_2025-01-01_2025-12-28_LOCAL-OCS | 10208510_10208510_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-2025AFTERSALESSEM | 10207178_10207178_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-01_2025-02-28_LOCAL-AFTERSALESPRINT | 10208494_10208494_POR_POB_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CORPORATESEARCH,id,1.0
DE,DIET_PO_RANGE_XXX_REC_OTH_AO-SEA_23_B-RANGE-PUREBRAND-BENL-EXACT-ACQ-NRT-DEALERS-RADIUS-KNOKKE,2.0,251077.27991856937,10277619_10277619_POR_EPF_BRD_DEU_T1_NU_EUR_2025-07-23_2025-09-02_LOCAL-BEVPUSH2025CAYENNESOCIALFLIGHT | 10157126_10157126_POR_EPF_BRD_GBR_T1_NU_GBP_2025-07-23_2025-09-24_LOCAL-EPERFORMANCE,id,1.0
DE,PORSCHE-ONG-FINDER-PR-TXT-COR,2.0,,,,
DE,PZ_Offenburg,2.0,,,,
