market,market_name,campaign_name,week,model,conv,spend
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131669_PORSCHESEAAO2026_MODELLMACAN_DE_41313730,2025-06,macan,3.0,6131.7
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131669_PORSCHESEAAO2026_MODELLMACAN_DE_41313730,2025-07,macan,4.5,5682.12
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131669_PORSCHESEAAO2026_MODELLMACAN_DE_41313730,2025-08,macan,7.2,5786.92
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131669_PORSCHESEAAO2026_MODELLMACAN_DE_41313730,2025-09,macan,4.0,5028.72
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131669_PORSCHESEAAO2026_MODELLMACAN_DE_41313730,2025-10,macan,5.0,5379.6
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131669_PORSCHESEAAO2026_MODELLMACAN_DE_41313730,2025-11,macan,10.5,5231.85
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131669_PORSCHESEAAO2026_MODELLMACAN_DE_41313730,2025-12,macan,4.01,5186.51
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131669_PORSCHESEAAO2026_MODELLMACAN_DE_41313730,2025-13,macan,6.01,4908.5
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131669_PORSCHESEAAO2026_MODELLMACAN_DE_41313730,2025-14,macan,9.02,5191.83
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131669_PORSCHESEAAO2026_MODELLMACAN_DE_41313730,2025-15,macan,3.0,5488.35
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131669_PORSCHESEAAO2026_MODELLMACAN_DE_41313730,2025-16,macan,6.0,3798.17
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131669_PORSCHESEAAO2026_MODELLMACAN_DE_41313730,2025-17,macan,2.25,3699.79
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131669_PORSCHESEAAO2026_MODELLMACAN_DE_41313730,2025-18,macan,2.0,3576.66
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131669_PORSCHESEAAO2026_MODELLMACAN_DE_41313730,2025-19,macan,5.78,3758.77
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131669_PORSCHESEAAO2026_MODELLMACAN_DE_41313730,2025-20,macan,2.94,3816.77
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131669_PORSCHESEAAO2026_MODELLMACAN_DE_41313730,2025-21,macan,10.96,3752.51
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131669_PORSCHESEAAO2026_MODELLMACAN_DE_41313730,2025-22,macan,2.0,2870.6
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-01,taycan,5.45,5088.18
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-02,taycan,19.5,2582.01
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-03,taycan,7.0,2474.34
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-04,taycan,5.39,2508.58
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-05,taycan,6.5,2344.46
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-06,taycan,1.0,2817.33
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-07,taycan,4.5,2625.1
PD,Germany,20056448_BR_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_KT_NU_NU_DE_NU_BRAD_20131670_PORSCHESEAAO2026_MODELLTAYCAN_DE_41313730,2025-08,taycan,1.03,2714.44
