market,model,channel,week,icc_dcfs,model_dcfs,finder_dcfs,dcfs,spend
GERMANY,none,Paid Search,2025-41,3.0,nan,nan,3.0,1108.06
GERMANY,macan,Paid Search,2025-42,3.09,nan,nan,3.09,2677.66
GERMANY,cayenne,Paid Search,2025-42,1.0,nan,nan,1.0,2164.43
GERMANY,taycan,Paid Search,2025-42,6.42,nan,nan,6.42,2022.63
GERMANY,panamera,Paid Search,2025-42,2.0,nan,nan,2.0,249.27
GERMANY,911,Paid Search,2025-42,4.5,nan,nan,4.5,235.78
GERMANY,none,Paid Search,2025-42,8.41,nan,nan,8.41,981.02
GERMANY,macan,Paid Search,2025-43,25.52,nan,nan,25.52,2167.06
GERMANY,cayenne,Paid Search,2025-43,1.02,nan,nan,1.02,2127.39
GERMANY,taycan,Paid Search,2025-43,1.83,nan,nan,1.83,1742.28
GERMANY,panamera,Paid Search,2025-43,0.0,nan,nan,0.0,220.22
GERMANY,911,Paid Search,2025-43,2.0,nan,nan,2.0,241.67
GERMANY,none,Paid Search,2025-43,3.97,nan,nan,3.97,973.32
GERMANY,macan,Paid Search,2025-44,13.0,nan,nan,13.0,2336.17
GERMANY,cayenne,Paid Search,2025-44,2.52,nan,nan,2.52,1188.55
GERMANY,taycan,Paid Search,2025-44,7.64,nan,nan,7.64,1725.57
GERMANY,panamera,Paid Search,2025-44,1.0,nan,nan,1.0,228.65
GERMANY,911,Paid Search,2025-44,1.0,nan,nan,1.0,209.37
GERMANY,none,Paid Search,2025-44,5.86,nan,nan,5.86,1009.5
GERMANY,macan,Paid Search,2025-45,4.0,nan,nan,4.0,2212.32
GERMANY,taycan,Paid Search,2025-45,4.140000000000001,nan,nan,4.140000000000001,1679.1
GERMANY,panamera,Paid Search,2025-45,1.0,nan,nan,1.0,257.57
GERMANY,911,Paid Search,2025-45,1.0,nan,nan,1.0,250.96
GERMANY,cayenne,Paid Search,2025-45,0.0,nan,nan,0.0,11188.61
GERMANY,none,Paid Search,2025-45,1.1,nan,nan,1.1,1067.16
GERMANY,none,Paid Search,2025-46,12.780000000000001,nan,nan,12.780000000000001,911.43
GERMANY,macan,Paid Search,2025-46,7.89,nan,nan,7.89,2087.7
GERMANY,taycan,Paid Search,2025-46,4.0,nan,nan,4.0,1447.67
GERMANY,panamera,Paid Search,2025-46,2.0,nan,nan,2.0,253.0
GERMANY,911,Paid Search,2025-46,3.0,nan,nan,3.0,260.26
GERMANY,cayenne,Paid Search,2025-46,22.25,nan,nan,22.25,13942.89
GERMANY,none,Paid Search,2025-47,14.879999999999999,nan,nan,14.879999999999999,967.76
GERMANY,macan,Paid Search,2025-47,13.25,nan,nan,13.25,2876.33
GERMANY,taycan,Paid Search,2025-47,1.13,nan,nan,1.13,1411.26
GERMANY,panamera,Paid Search,2025-47,1.0,nan,nan,1.0,250.56
GERMANY,911,Paid Search,2025-47,0.0,nan,nan,0.0,246.6
GERMANY,cayenne,Paid Search,2025-47,36.120000000000005,nan,nan,36.120000000000005,15762.89
GERMANY,macan,Paid Search,2025-48,6.0,nan,nan,6.0,2687.19
GERMANY,taycan,Paid Search,2025-48,13.25,nan,nan,13.25,1321.77
GERMANY,panamera,Paid Search,2025-48,0.14,nan,nan,0.14,228.31
GERMANY,911,Paid Search,2025-48,2.02,nan,nan,2.02,230.08
GERMANY,cayenne,Paid Search,2025-48,3.06,nan,nan,3.06,4900.04
GERMANY,none,Paid Search,2025-48,16.3,nan,nan,16.3,1041.14
GERMANY,macan,Paid Search,2025-49,2.6,nan,nan,2.6,2580.24
GERMANY,taycan,Paid Search,2025-49,10.0,nan,nan,10.0,1421.29
GERMANY,panamera,Paid Search,2025-49,1.0,nan,nan,1.0,251.54
GERMANY,911,Paid Search,2025-49,3.0,nan,nan,3.0,251.03
GERMANY,cayenne,Paid Search,2025-49,11.05,nan,nan,11.05,6929.93
GERMANY,none,Paid Search,2025-49,12.69,nan,nan,12.69,1065.53
GERMANY,macan,Paid Search,2025-50,4.5,nan,nan,4.5,4752.62
GERMANY,taycan,Paid Search,2025-50,9.190000000000001,nan,nan,9.190000000000001,2643.04
GERMANY,panamera,Paid Search,2025-50,nan,nan,nan,nan,246.49
GERMANY,911,Paid Search,2025-50,0.0,nan,nan,0.0,242.83
GERMANY,cayenne,Paid Search,2025-50,3.95,nan,nan,3.95,6822.2
GERMANY,none,Paid Search,2025-50,13.1,nan,nan,13.1,1056.27
GERMANY,macan,Paid Search,2025-51,15.030000000000001,nan,nan,15.030000000000001,5285.81
GERMANY,taycan,Paid Search,2025-51,6.48,nan,nan,6.48,2787.2
GERMANY,panamera,Paid Search,2025-51,nan,nan,nan,nan,237.1
GERMANY,911,Paid Search,2025-51,0.0,nan,nan,0.0,246.61
GERMANY,cayenne,Paid Search,2025-51,6.0,nan,nan,6.0,6698.07
GERMANY,none,Paid Search,2025-51,7.34,nan,nan,7.34,1044.41
GERMANY,macan,Paid Search,2025-52,13.22,nan,nan,13.22,5664.77
GERMANY,taycan,Paid Search,2025-52,3.05,nan,nan,3.05,2658.52
GERMANY,panamera,Paid Search,2025-52,nan,nan,nan,nan,236.07
GERMANY,911,Paid Search,2025-52,1.0,nan,nan,1.0,230.39
GERMANY,cayenne,Paid Search,2025-52,2.94,nan,nan,2.94,6427.81
GERMANY,none,Paid Search,2025-52,8.629999999999999,nan,nan,8.629999999999999,995.84
GERMANY,macan,Paid Search,2026-01,8.16,nan,nan,8.16,2340.65
GERMANY,taycan,Paid Search,2026-01,10.0,nan,nan,10.0,1403.02
GERMANY,panamera,Paid Search,2026-01,0.0,nan,nan,0.0,88.3
GERMANY,911,Paid Search,2026-01,nan,nan,nan,nan,89.3
GERMANY,cayenne,Paid Search,2026-01,4.0,nan,nan,4.0,2447.03
GERMANY,none,Paid Search,2026-01,5.0,nan,nan,5.0,398.88
FRANCE,macan,Paid Search,2025-22,2.04,nan,nan,2.04,211.31
FRANCE,taycan,Paid Search,2025-22,0.02,nan,nan,0.02,204.48
FRANCE,911,Paid Search,2025-22,nan,nan,nan,nan,25.47
FRANCE,panamera,Paid Search,2025-22,0.0,nan,nan,0.0,184.26
FRANCE,cayenne,Paid Search,2025-22,nan,nan,nan,nan,12.79
FRANCE,718,Paid Search,2025-22,nan,nan,nan,nan,1.23
FRANCE,none,Paid Search,2025-23,nan,nan,nan,nan,0.0
FRANCE,macan,Paid Search,2025-23,11.190000000000001,nan,nan,11.190000000000001,1385.05
FRANCE,taycan,Paid Search,2025-23,16.4,nan,nan,16.4,1299.1
FRANCE,911,Paid Search,2025-23,nan,nan,nan,nan,180.78
FRANCE,panamera,Paid Search,2025-23,9.0,nan,nan,9.0,1193.98
FRANCE,cayenne,Paid Search,2025-23,1.0,nan,nan,1.0,119.86
FRANCE,718,Paid Search,2025-23,nan,nan,nan,nan,24.25
FRANCE,macan,Paid Search,2025-24,9.7,nan,nan,9.7,1381.81
FRANCE,taycan,Paid Search,2025-24,8.469999999999999,nan,nan,8.469999999999999,1324.47
FRANCE,911,Paid Search,2025-24,nan,nan,nan,nan,182.91
FRANCE,panamera,Paid Search,2025-24,2.0,nan,nan,2.0,1175.45
FRANCE,cayenne,Paid Search,2025-24,nan,nan,nan,nan,118.4
FRANCE,none,Paid Search,2025-24,nan,nan,nan,nan,0.0
FRANCE,718,Paid Search,2025-24,nan,nan,nan,nan,32.67
FRANCE,macan,Paid Search,2025-25,17.05,nan,nan,17.05,1353.64
FRANCE,taycan,Paid Search,2025-25,18.22,nan,nan,18.22,1282.56
FRANCE,911,Paid Search,2025-25,nan,nan,nan,nan,143.74
FRANCE,panamera,Paid Search,2025-25,7.91,nan,nan,7.91,985.66
FRANCE,cayenne,Paid Search,2025-25,nan,nan,nan,nan,276.23
FRANCE,none,Paid Search,2025-25,nan,nan,nan,nan,0.31
FRANCE,718,Paid Search,2025-25,nan,nan,nan,nan,16.27
FRANCE,macan,Paid Search,2025-26,21.09,nan,nan,21.09,1278.81
FRANCE,taycan,Paid Search,2025-26,8.58,nan,nan,8.58,1209.29
FRANCE,911,Paid Search,2025-26,1.0,nan,nan,1.0,180.64
FRANCE,panamera,Paid Search,2025-26,3.0,nan,nan,3.0,925.14
FRANCE,cayenne,Paid Search,2025-26,nan,nan,nan,nan,266.13
FRANCE,none,Paid Search,2025-26,nan,nan,nan,nan,1.66
FRANCE,718,Paid Search,2025-26,nan,nan,nan,nan,15.55
FRANCE,none,Paid Search,2025-27,nan,nan,nan,nan,2.15
FRANCE,macan,Paid Search,2025-27,8.79,nan,nan,8.79,1342.88
FRANCE,taycan,Paid Search,2025-27,15.32,nan,nan,15.32,1253.37
FRANCE,911,Paid Search,2025-27,nan,nan,nan,nan,116.54
FRANCE,panamera,Paid Search,2025-27,3.9,nan,nan,3.9,561.48
FRANCE,cayenne,Paid Search,2025-27,0.5,nan,nan,0.5,323.98
FRANCE,718,Paid Search,2025-27,nan,nan,nan,nan,43.14
FRANCE,none,Paid Search,2025-28,nan,nan,nan,nan,8.49
FRANCE,macan,Paid Search,2025-28,5.32,nan,nan,5.32,1332.97
FRANCE,taycan,Paid Search,2025-28,10.44,nan,nan,10.44,1275.47
FRANCE,911,Paid Search,2025-28,nan,nan,nan,nan,5.71
FRANCE,panamera,Paid Search,2025-28,nan,nan,nan,nan,322.9
FRANCE,cayenne,Paid Search,2025-28,nan,nan,nan,nan,325.71
FRANCE,macan,Paid Search,2025-29,7.96,nan,nan,7.96,623.95
FRANCE,taycan,Paid Search,2025-29,5.08,nan,nan,5.08,603.15
FRANCE,none,Paid Search,2025-29,nan,nan,nan,nan,41.07
