market,channel,week,icc_dcfs,sessions,spend
GERMANY,Paid Social,2025-48,0.0,,45464.25
GERMANY,Paid Social,2025-49,3.0,,51728.18
GERMANY,Paid Social,2025-50,2.0,,72849.34
GERMANY,Paid Social,2025-51,0.0,,78889.74
GERMANY,Paid Social,2025-52,0.0,,77924.52
GERMANY,Paid Social,2026-01,0.0,,30957.070000000007
GLOBAL,Paid Search,2025-01,52.0,,44406.129652
GLOBAL,Paid Search,2025-02,106.0,,37947.035653000006
GLOBAL,Paid Search,2025-03,149.0,,36533.715618999995
GLOBAL,Paid Search,2025-04,128.0,,35822.730723
GLOBAL,Paid Search,2025-05,120.0,,34692.936310000005
GLOBAL,Paid Search,2025-06,136.0,,43205.45458399999
GLOBAL,Paid Search,2025-07,145.0,,39602.503012
GLOBAL,Paid Search,2025-08,127.0,,40521.542423000006
GLOBAL,Paid Search,2025-09,153.0,,34864.919352
GLOBAL,Paid Search,2025-10,141.0,,37049.596465
GLOBAL,Paid Search,2025-11,158.0,,35095.056522
GLOBAL,Paid Search,2025-12,177.0,,35638.003989
GLOBAL,Paid Search,2025-13,171.0,,32271.742279000002
GLOBAL,Paid Search,2025-14,155.0,,35480.739483
GLOBAL,Paid Search,2025-15,141.0,,37120.967655
GLOBAL,Paid Search,2025-16,164.0,,26794.073156
GLOBAL,Paid Search,2025-17,130.0,,26062.322323999997
GLOBAL,Paid Search,2025-18,148.0,,25161.012615
GLOBAL,Paid Search,2025-19,174.0,,26480.516262
GLOBAL,Paid Search,2025-20,187.0,,26887.288623
GLOBAL,Paid Search,2025-21,176.0,,26284.439447999997
GLOBAL,Paid Search,2025-22,167.0,,24457.077099
GLOBAL,Paid Search,2025-23,173.0,,26704.053721
GLOBAL,Paid Search,2025-24,158.0,,37131.678908999995
GLOBAL,Paid Search,2025-25,183.0,,44778.613382
GLOBAL,Paid Search,2025-26,192.0,,40917.418418
GLOBAL,Paid Search,2025-27,187.0,,42139.526266
GLOBAL,Paid Search,2025-28,200.0,,34689.148151
GLOBAL,Paid Search,2025-29,223.0,,42593.463423
GLOBAL,Paid Search,2025-30,178.0,,37512.294777
GLOBAL,Paid Search,2025-31,179.0,,33640.203345
GLOBAL,Paid Search,2025-32,191.0,,36807.771083
GLOBAL,Paid Search,2025-33,183.0,,35983.578330000004
GLOBAL,Paid Search,2025-34,170.0,,36855.108426000006
GLOBAL,Paid Search,2025-35,185.0,,35036.013825999995
GLOBAL,Paid Search,2025-36,214.0,,49540.432443
GLOBAL,Paid Search,2025-37,251.0,,43354.346948
GLOBAL,Paid Search,2025-38,210.0,,34203.905002
GLOBAL,Paid Search,2025-39,229.0,,33580.242833
GLOBAL,Paid Search,2025-40,234.0,,42591.460451
GLOBAL,Paid Search,2025-41,213.0,,46936.825527999994
GLOBAL,Paid Search,2025-42,205.0,,44886.003409
GLOBAL,Paid Search,2025-43,214.0,,44312.684323
GLOBAL,Paid Search,2025-44,219.0,,49128.41221699999
GLOBAL,Paid Search,2025-45,258.0,,62826.61056799999
GLOBAL,Paid Search,2025-46,238.0,,61232.763938
GLOBAL,Paid Search,2025-47,336.0,,66078.20589400001
GLOBAL,Paid Search,2025-48,315.0,,72687.558582
GLOBAL,Paid Search,2025-49,272.0,,81734.38314199999
GLOBAL,Paid Search,2025-50,246.0,,80960.17900399998
GLOBAL,Paid Search,2025-51,235.0,,80426.337027
GLOBAL,Paid Search,2025-52,207.0,,74399.3197
GLOBAL,Paid Search,2026-01,101.0,,29520.863406
GLOBAL,Paid Social,2025-01,2.0,,760.91
GLOBAL,Paid Social,2025-02,3.0,,1885.7999999999997
GLOBAL,Paid Social,2025-03,0.0,,1894.0299999999997
GLOBAL,Paid Social,2025-04,1.0,,1950.96
GLOBAL,Paid Social,2025-05,1.0,,1901.17
GLOBAL,Paid Social,2025-06,2.0,,1935.5500000000002
GLOBAL,Paid Social,2025-07,6.0,,1942.26
GLOBAL,Paid Social,2025-08,6.0,,1927.3300000000002
GLOBAL,Paid Social,2025-09,6.0,,1918.02
GLOBAL,Paid Social,2025-10,9.0,,7143.89
GLOBAL,Paid Social,2025-11,1.0,,9793.33
GLOBAL,Paid Social,2025-12,5.0,,10453.86
GLOBAL,Paid Social,2025-13,5.0,,10410.55
GLOBAL,Paid Social,2025-14,2.0,,8866.07
GLOBAL,Paid Social,2025-15,13.0,,13622.920000000002
GLOBAL,Paid Social,2025-16,5.0,,13565.04
GLOBAL,Paid Social,2025-17,11.0,,13482.78
GLOBAL,Paid Social,2025-18,8.0,,8833.79
GLOBAL,Paid Social,2025-19,6.0,,6473.26
GLOBAL,Paid Social,2025-20,3.0,,6563.21
GLOBAL,Paid Social,2025-21,5.0,,7164.490000000001
GLOBAL,Paid Social,2025-22,7.0,,7069.68
GLOBAL,Paid Social,2025-23,4.0,,8901.789999999999
GLOBAL,Paid Social,2025-24,0.0,,19561.05
GLOBAL,Paid Social,2025-25,6.0,,14175.76
GLOBAL,Paid Social,2025-26,7.0,,14693.69
GLOBAL,Paid Social,2025-27,6.0,,16907.239999999998
GLOBAL,Paid Social,2025-28,2.0,,16495.55
GLOBAL,Paid Social,2025-29,7.0,,28992.31
GLOBAL,Paid Social,2025-30,8.0,,22156.809999999998
GLOBAL,Paid Social,2025-31,7.0,,34628.46
GLOBAL,Paid Social,2025-32,6.0,,37872.73
GLOBAL,Paid Social,2025-33,8.0,,48136.8
GLOBAL,Paid Social,2025-34,10.0,,31865.69
GLOBAL,Paid Social,2025-35,11.0,,28230.479999999996
GLOBAL,Paid Social,2025-36,10.0,,19285.179999999997
GLOBAL,Paid Social,2025-37,11.0,,16875.5
GLOBAL,Paid Social,2025-38,20.0,,19380.21
GLOBAL,Paid Social,2025-39,13.0,,28579.59
GLOBAL,Paid Social,2025-40,9.0,,11157.700000000004
GLOBAL,Paid Social,2025-41,15.0,,5899.080000000001
GLOBAL,Paid Social,2025-42,10.0,,11378.56
GLOBAL,Paid Social,2025-43,15.0,,15050.18
GLOBAL,Paid Social,2025-44,20.0,,18245.12
GLOBAL,Paid Social,2025-45,18.0,,17101.14
GLOBAL,Paid Social,2025-46,13.0,,43364.86
GLOBAL,Paid Social,2025-47,18.0,,47677.100000000006
GLOBAL,Paid Social,2025-48,29.0,,45464.25
GLOBAL,Paid Social,2025-49,53.0,,51728.18000000001
GLOBAL,Paid Social,2025-50,69.0,,72849.34
GLOBAL,Paid Social,2025-51,47.0,,78889.74
GLOBAL,Paid Social,2025-52,60.0,,77924.52
GLOBAL,Paid Social,2026-01,25.0,,30957.070000000007
KOREA,Paid Search,2025-01,0.0,,0.0
KOREA,Paid Search,2025-02,0.0,,0.0
KOREA,Paid Search,2025-03,0.0,,0.0
KOREA,Paid Search,2025-04,0.0,,0.0
KOREA,Paid Search,2025-05,0.0,,0.0
KOREA,Paid Search,2025-06,0.0,,0.0
KOREA,Paid Search,2025-07,0.0,,1973.0656005028209
KOREA,Paid Search,2025-08,0.0,,4565.597352521598
KOREA,Paid Search,2025-09,4.0,,1175.0947678242446
KOREA,Paid Search,2025-10,7.0,,424.11019104393205
KOREA,Paid Search,2025-11,3.0,,50.555687332733754
KOREA,Paid Search,2025-12,2.0,,4083.4959214005394
KOREA,Paid Search,2025-13,0.0,,3901.11530520399
KOREA,Paid Search,2025-14,1.0,,9892.432867591911
KOREA,Paid Search,2025-15,5.0,,12682.888255575313
KOREA,Paid Search,2025-16,1.0,,12388.758311375466
KOREA,Paid Search,2025-17,1.0,,10778.365145999236
KOREA,Paid Search,2025-18,1.0,,9861.288975136948
KOREA,Paid Search,2025-19,1.0,,8575.375829299866
KOREA,Paid Search,2025-20,1.0,,10799.971168299131
KOREA,Paid Search,2025-21,4.0,,13889.394119284334
KOREA,Paid Search,2025-22,8.0,,12616.524508451885
KOREA,Paid Search,2025-23,7.0,,0.0
KOREA,Paid Search,2025-24,15.0,,0.0
KOREA,Paid Search,2025-25,10.0,,0.0
KOREA,Paid Search,2025-26,10.0,,0.0
KOREA,Paid Search,2025-27,2.0,,0.0
KOREA,Paid Search,2025-28,8.0,,0.0
KOREA,Paid Search,2025-29,11.0,,0.0
KOREA,Paid Search,2025-30,13.0,,0.0
KOREA,Paid Search,2025-31,10.0,,0.0
KOREA,Paid Search,2025-32,0.0,,0.0
KOREA,Paid Search,2025-33,0.0,,0.0
KOREA,Paid Search,2025-34,1.0,,0.0
KOREA,Paid Search,2025-35,6.0,,1686.3535823924183
KOREA,Paid Search,2025-36,11.0,,0.0
KOREA,Paid Search,2025-37,9.0,,0.0
KOREA,Paid Search,2025-38,6.0,,0.0
KOREA,Paid Search,2025-39,4.0,,7817.782168956613
KOREA,Paid Search,2025-40,6.0,,23669.640741156352
KOREA,Paid Search,2025-41,6.0,,25076.503557870026
KOREA,Paid Search,2025-42,15.0,,27109.24081103412
KOREA,Paid Search,2025-43,3.0,,25339.775528501348
KOREA,Paid Search,2025-44,9.0,,13919.472795193224
KOREA,Paid Search,2025-45,10.0,,0.0
KOREA,Paid Search,2025-46,5.0,,0.0
KOREA,Paid Search,2025-47,9.0,,573.2880718399967
KOREA,Paid Search,2025-48,2.0,,715.672669105824
KOREA,Paid Search,2025-49,5.0,,1136.7598506888235
KOREA,Paid Search,2025-50,4.0,,1210.3771933543183
KOREA,Paid Search,2025-51,2.0,,5254.337973310986
KOREA,Paid Search,2025-52,1.0,,7598.952968571662
KOREA,Paid Search,2026-01,2.0,,5044.407325000681
KOREA,Paid Social,2025-01,0.0,,0.0
KOREA,Paid Social,2025-02,0.0,,0.0
KOREA,Paid Social,2025-03,0.0,,0.0
KOREA,Paid Social,2025-04,0.0,,0.0
KOREA,Paid Social,2025-05,0.0,,0.0
KOREA,Paid Social,2025-06,0.0,,0.0
KOREA,Paid Social,2025-07,0.0,,1353.9605646853622
KOREA,Paid Social,2025-08,0.0,,3377.950153980323
KOREA,Paid Social,2025-09,0.0,,1140.6126509143432
KOREA,Paid Social,2025-10,0.0,,738.2940887907774
KOREA,Paid Social,2025-11,0.0,,116.32259559043959
KOREA,Paid Social,2025-12,0.0,,838.8091734118223
KOREA,Paid Social,2025-13,0.0,,1503.1382007467364
KOREA,Paid Social,2025-14,0.0,,2959.8806311830594
KOREA,Paid Social,2025-15,0.0,,3441.738206197367
KOREA,Paid Social,2025-16,0.0,,3524.291417981631
KOREA,Paid Social,2025-17,1.0,,3548.744310903987
KOREA,Paid Social,2025-18,0.0,,1983.0798789959938
KOREA,Paid Social,2025-19,0.0,,508.38102635380045
KOREA,Paid Social,2025-20,0.0,,499.07271141634646
KOREA,Paid Social,2025-21,0.0,,691.8880985474069
KOREA,Paid Social,2025-22,0.0,,466.75251410350756
KOREA,Paid Social,2025-23,0.0,,0.0
KOREA,Paid Social,2025-24,0.0,,0.0
KOREA,Paid Social,2025-25,0.0,,0.0
KOREA,Paid Social,2025-26,0.0,,0.0
KOREA,Paid Social,2025-27,0.0,,0.0
KOREA,Paid Social,2025-28,0.0,,0.0
KOREA,Paid Social,2025-29,0.0,,0.0
KOREA,Paid Social,2025-30,0.0,,0.0
KOREA,Paid Social,2025-31,0.0,,0.0
KOREA,Paid Social,2025-32,0.0,,0.0
KOREA,Paid Social,2025-33,0.0,,0.0
KOREA,Paid Social,2025-34,0.0,,0.0
KOREA,Paid Social,2025-35,0.0,,716.8622080505818
KOREA,Paid Social,2025-36,0.0,,1133.1922982585234
KOREA,Paid Social,2025-37,0.0,,193.9320851388548
KOREA,Paid Social,2025-38,0.0,,0.0
KOREA,Paid Social,2025-39,0.0,,7271.850897991443
KOREA,Paid Social,2025-40,0.0,,12380.379091379826
KOREA,Paid Social,2025-41,0.0,,12491.889461205134
KOREA,Paid Social,2025-42,0.0,,11733.642656637505
KOREA,Paid Social,2025-43,0.0,,12827.939934047365
KOREA,Paid Social,2025-44,0.0,,7282.7194560270345
KOREA,Paid Social,2025-45,0.0,,2770.089662878478
KOREA,Paid Social,2025-46,0.0,,3063.5073447251516
KOREA,Paid Social,2025-47,0.0,,298.3627667402502
KOREA,Paid Social,2025-48,2.0,,2969.727877251792
KOREA,Paid Social,2025-49,8.0,,10804.99959120268
KOREA,Paid Social,2025-50,8.0,,16280.013217779957
KOREA,Paid Social,2025-51,5.0,,26039.05853977598
KOREA,Paid Social,2025-52,5.0,,29694.513939988552
KOREA,Paid Social,2026-01,1.0,,11848.075927288583
UK,Paid Search,2025-01,4.0,,7025.161839759036
UK,Paid Search,2025-02,7.0,,9940.41046506024
UK,Paid Search,2025-03,8.0,,10029.515538554218
UK,Paid Search,2025-04,12.0,,10182.756687951809
UK,Paid Search,2025-05,7.0,,10710.099109638555
UK,Paid Search,2025-06,8.0,,10983.749279518073
UK,Paid Search,2025-07,7.0,,12455.015034939759
UK,Paid Search,2025-08,4.0,,11818.096938554218
UK,Paid Search,2025-09,2.0,,9415.048045783133
UK,Paid Search,2025-10,5.0,,12928.322340963856
UK,Paid Search,2025-11,5.0,,15940.231355421687
UK,Paid Search,2025-12,16.0,,26178.661884337354
UK,Paid Search,2025-13,12.0,,30072.59855542169
UK,Paid Search,2025-14,17.0,,22387.41795060241
UK,Paid Search,2025-15,9.0,,18169.12733373494
UK,Paid Search,2025-16,10.0,,18406.021073493976
UK,Paid Search,2025-17,12.0,,23410.240232530123
UK,Paid Search,2025-18,10.0,,25820.36309759036
UK,Paid Search,2025-19,11.0,,28183.795438554218
UK,Paid Search,2025-20,12.0,,32776.05336144579
UK,Paid Search,2025-21,13.0,,31786.140973493973
UK,Paid Search,2025-22,11.0,,25223.490726506025
UK,Paid Search,2025-23,8.0,,36981.780985542166
UK,Paid Search,2025-24,10.0,,44115.77299156627
UK,Paid Search,2025-25,11.0,,53984.651521686756
UK,Paid Search,2025-26,18.0,,51489.07443975904
UK,Paid Search,2025-27,11.0,,27354.24096746988
UK,Paid Search,2025-28,12.0,,28869.976355421688
UK,Paid Search,2025-29,13.0,,28400.146145783136
UK,Paid Search,2025-30,9.0,,30906.81220963855
UK,Paid Search,2025-31,16.0,,22260.56806746988
UK,Paid Search,2025-32,15.0,,24603.836091566263
UK,Paid Search,2025-33,8.0,,25102.783939759043
UK,Paid Search,2025-34,5.0,,28837.201630120482
UK,Paid Search,2025-35,12.0,,27934.659975903614
UK,Paid Search,2025-36,14.0,,30009.070236144576
UK,Paid Search,2025-37,6.0,,28141.55530240964
UK,Paid Search,2025-38,17.0,,28034.25168674699
UK,Paid Search,2025-39,9.0,,32507.186742168677
UK,Paid Search,2025-40,13.0,,17744.31384819277
UK,Paid Search,2025-41,14.0,,10239.403149397593
UK,Paid Search,2025-42,8.0,,11968.033448192773
UK,Paid Search,2025-43,20.0,,11784.635221686747
UK,Paid Search,2025-44,16.0,,15809.655627710843
UK,Paid Search,2025-45,13.0,,26500.942850602412
UK,Paid Search,2025-46,9.0,,31709.007909638556
